Measurement Name,Time,Longitude,Latitude,LTE RSRP,LTE PUCCH TX Power
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:16,22.3714783333333,37.52719,,
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:17,22.3714783333333,37.52719,-111.25,
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:17,22.3714783333333,37.52719,-111.25,
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:18,22.3714783333333,37.52719,-113.25,
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:18,22.3714783333333,37.52719,-112.875,
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:19,22.3714783333333,37.52719,-112.875,14
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:19,22.3714783333333,37.52719,-109.5,0
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:20,22.3714783333333,37.52719,-109.5,5
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:20,22.3714783333333,37.52719,-107.6875,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:21,22.3714783333333,37.52719,-107.25,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:21,22.3714783333333,37.52719,-107.25,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:22,22.3714783333333,37.52719,-109.4375,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:22,22.3714783333333,37.52719,-109.4375,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:23,22.3714783333333,37.52719,-108.8125,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:23,22.3714783333333,37.52719,-109.625,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:24,22.3714783333333,37.52719,-109.625,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:24,22.3714783333333,37.52719,-109,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:25,22.3714783333333,37.52719,-109.625,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:25,22.3714783333333,37.52719,-109.625,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:26,22.3714783333333,37.52719,-110,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:26,22.3714783333333,37.52719,-110,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:27,22.3714783333333,37.52719,-109.9375,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:27,22.3714783333333,37.52719,-110.4375,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:28,22.3714783333333,37.52719,-110.4375,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:28,22.3714783333333,37.52719,-107.6875,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:29,22.3714783333333,37.52719,-108.6875,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:29,22.3714783333333,37.52719,-108.6875,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:30,22.3714783333333,37.52719,-110.3125,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:30,22.3714783333333,37.52719,-110.3125,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:31,22.3714783333333,37.52719,-108.4375,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:31,22.3714783333333,37.52719,-108.375,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:32,22.3714783333333,37.52719,-108.375,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:32,22.3714783333333,37.52719,-109.5,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:33,22.3714783333333,37.52719,-110.0625,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:33,22.3714783333333,37.52719,-110.0625,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:34,22.3714783333333,37.52719,-109.8125,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:34,22.3714783333333,37.52719,-109.8125,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:35,22.3714783333333,37.52719,-109.0625,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:35,22.3714783333333,37.52719,-109.1875,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:36,22.3714783333333,37.52719,-109.1875,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:36,22.3714783333333,37.52719,-108.8125,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:37,22.3714783333333,37.52719,-108.5,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:37,22.3714783333333,37.52719,-108.5,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:38,22.3714783333333,37.52719,-108.125,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:38,22.3714783333333,37.52719,-108.125,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:39,22.3714783333333,37.52719,-108.8125,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:39,22.3714783333333,37.52719,-108.625,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:40,22.3714783333333,37.52719,-108.625,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:40,22.3714783333333,37.52719,-108.1875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:41,22.3714783333333,37.52719,-108.1875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:41,22.3714783333333,37.52719,-107.5625,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:42,22.3714783333333,37.52719,-107.5625,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:42,22.3714783333333,37.52719,-108.5625,14
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:43,22.3714783333333,37.52719,-108.625,14
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:43,22.3714783333333,37.52719,-108.625,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:44,22.3714783333333,37.52719,-109.25,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:44,22.3714783333333,37.52719,-110.25,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:45,22.3714783333333,37.52719,-110.25,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:45,22.3714783333333,37.52719,-110.25,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:46,22.3714783333333,37.52719,-112.125,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:46,22.3714783333333,37.52719,-112.125,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:47,22.3714783333333,37.52719,-111.875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:47,22.3714783333333,37.52719,-111.875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:48,22.3714783333333,37.52719,-112.375,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:48,22.3714783333333,37.52719,-112.4375,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:49,22.3714783333333,37.52719,-112.4375,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:49,22.3714783333333,37.52719,-112.3125,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:50,22.3714783333333,37.52719,-112.3125,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:50,22.3714783333333,37.52719,-108.3125,8
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:51,22.3714783333333,37.52719,-108.4375,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:51,22.3714783333333,37.52719,-107.8125,8
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:52,22.3714783333333,37.52719,-107.8125,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:52,22.3714783333333,37.52719,-108.6875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:53,22.3714783333333,37.52719,-108.75,7
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:53,22.3714783333333,37.52719,-108.75,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:54,22.3714783333333,37.52719,-110.1875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:54,22.3714783333333,37.52719,-110.1875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:55,22.3714783333333,37.52719,-108.875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:55,22.3714783333333,37.52719,-109.25,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:56,22.3714783333333,37.52719,-109.25,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:56,22.3714783333333,37.52719,-109.9375,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:57,22.3714783333333,37.52719,-109.9375,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:57,22.3714783333333,37.52719,-109,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:58,22.3714783333333,37.52719,-109.125,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:58,22.3714783333333,37.52719,-109.125,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:59,22.3714783333333,37.52719,-108.875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:22:59,22.3714783333333,37.52719,-109.75,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:00,22.3714783333333,37.52719,-109.75,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:00,22.3714783333333,37.52719,-109.25,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:01,22.3714783333333,37.52719,-109.25,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:01,22.3714783333333,37.52719,-110.125,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:02,22.3714783333333,37.52719,-108.5625,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:02,22.3714783333333,37.52719,-108.5625,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:03,22.3714783333333,37.52719,-109.625,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:03,22.3714783333333,37.52719,-108.375,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:04,22.3714783333333,37.52719,-108.375,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:04,22.3714783333333,37.52719,-108.625,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:05,22.3714783333333,37.52719,-108.625,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:05,22.3714783333333,37.52719,-109.4375,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:06,22.3714783333333,37.52719,-108.875,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:06,22.3714783333333,37.52719,-108.875,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:07,22.3714783333333,37.52719,-108.8125,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:07,22.3714783333333,37.52719,-108.8125,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:08,22.3714783333333,37.52719,-109.9375,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:08,22.3714783333333,37.52719,-109.9375,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:09,22.3714783333333,37.52719,-109.5,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:09,22.3714783333333,37.52719,-108.875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:10,22.3714783333333,37.52719,-108.875,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:10,22.3714783333333,37.52719,-110.4375,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:11,22.3714783333333,37.52719,-109.4375,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:11,22.3714783333333,37.52719,-109.4375,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:12,22.3714783333333,37.52719,-110.4375,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:12,22.3714783333333,37.52719,-110.4375,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:13,22.3714783333333,37.52719,-109.6875,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:13,22.3714783333333,37.52719,-108.875,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:14,22.3714783333333,37.52719,-108.875,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:14,22.3714783333333,37.52719,-110.1875,9
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:15,22.3714783333333,37.52719,-110.5,14
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:15,22.3714783333333,37.52719,-110.5,14
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:16,22.3714783333333,37.52719,-110.5,14
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:16,22.3714783333333,37.52719,-111.875,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:17,22.3714783333333,37.52719,-112.75,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:17,22.3714783333333,37.52719,-112.75,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:18,22.3714783333333,37.52719,-112.25,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:18,22.3714783333333,37.52719,-112.25,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:19,22.3714783333333,37.52719,-112.625,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:19,22.3714783333333,37.52719,-112.625,13
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:20,22.3714783333333,37.52719,-111.5625,14
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:20,22.3714783333333,37.52719,-111.5625,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:21,22.3714783333333,37.52719,-109.125,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:21,22.3714783333333,37.52719,-109.3125,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:22,22.3714783333333,37.52719,-109.75,8
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:22,22.3714783333333,37.52719,-109.75,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:23,22.3714783333333,37.52719,-109.1875,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:23,22.3714783333333,37.52719,-109.1875,10
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:24,22.3714783333333,37.52719,-109.9375,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:24,22.3714783333333,37.52719,-109.6875,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:25,22.3714783333333,37.52719,-109.6875,12
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:25,22.3714783333333,37.52719,-110.5625,11
group15_B_C_20250120-142146.1.echo,01/20/2025 14:23:26,22.3714783333333,37.52719,-109.1875,11
