Measurement Name,Time,Longitude,Latitude,LTE RSRP,LTE PUCCH TX Power
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:32,22.371465,37.527205,,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:32,22.371465,37.527205,-102.6875,12
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:33,22.371465,37.527205,-102.25,12
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:33,22.371465,37.527205,-102.25,11
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:34,22.371465,37.527205,-101.625,11
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:34,22.371465,37.527205,-102,11
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:35,22.371465,37.527205,-102,9
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:35,22.371465,37.527205,-102.625,9
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:36,22.371465,37.527205,-102.625,9
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:36,22.371465,37.527205,-103.8125,10
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:37,22.371465,37.527205,-103.8125,10
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:37,22.371465,37.527205,-102.9375,9
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:38,22.371465,37.527205,-103.4375,9
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:38,22.371465,37.527205,-103.4375,9
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:39,22.371465,37.527205,-102.75,9
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:39,22.371465,37.527205,-102.8125,9
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:40,22.371465,37.527205,-102.8125,9
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:40,22.371465,37.527205,-103.1875,9
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:41,22.371465,37.527205,-103.1875,8
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:41,22.371465,37.527205,-105.875,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:42,22.371465,37.527205,-105.875,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:42,22.371465,37.527205,-106.375,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:43,22.371465,37.527205,-106.375,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:43,22.371465,37.527205,-106.25,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:44,22.371465,37.527205,-105.875,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:44,22.371465,37.527205,-105.875,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:45,22.371465,37.527205,-106.25,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:45,22.371465,37.527205,-106.25,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:46,22.371465,37.527205,-106.4375,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:46,22.371465,37.527205,-106.4375,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:47,22.371465,37.527205,-106.5,
group15_A_C_20250120-141623.1.echo,01/20/2025 14:16:47,22.371465,37.527205,-106.5,
